location,lat,lon,neighborhood,city
16 Kenyon St ,41.8221005,-71.42371899999999,Ward 13,Providence
Congress Ave At Melrose St,41.799369,-71.42341789999999,Elmwood,Providence
37 Putnam St,41.8214238,-71.4438206,Olneyville,Providence
1288 Chalkstone Ave,41.8323709,-71.4514493,Mount Pleasant,Providence
3 Riverdale St,41.8267887,-71.4598288,Manton,Providence
46 Dike St,41.81516740000001,-71.44128420000001,Olneyville,Providence
825 Chalkstone Ave,41.8351848,-71.4355921,Elmhurst,Providence
1137 Broad St,41.7946171,-71.4104442,Elmwood,Providence
325 Washington St,41.8197292,-71.4203694,Ward 13,Providence
27 Middle Dr,41.8520139,-71.443918,Wanskuck,Providence
35 Claverick St,41.8179232,-71.41290579999999,Downtown Providence,Providence
240 Bowen St,41.8310045,-71.40082869999999,College Hill,Providence
28 Hartford Ave,41.8168416,-71.44382759999999,Olneyville,Providence
318 Chalkstone Ave,41.8363023,-71.418926,Smith Hill,Providence
132 Oakland Ave,41.837926,-71.430041,Elmhurst,Providence
1 Franklin Sq ,41.8144922,-71.4053922,,Providence
13 Harold St,41.8273723,-71.4375672,Valley,Providence
255 Reservoir Ave,41.7897255,-71.43005269999999,Reservoir,Providence
64 Eaton St,41.8409556,-71.4298939,Wanskuck,Providence
Atwells Ave At Piedmont St,41.8239022,-71.4310715,Ward 13,Providence
120 Pembroke Ave,41.839931,-71.430195,Elmhurst,Providence
Broadway  At Ringgold St,41.8212225,-71.42335349999999,Ward 13,Providence
1075 Atwells Ave,41.8255342,-71.45342839999999,Mount Pleasant,Providence
6 Ringgold St,41.8205093,-71.42322639999999,Ward 13,Providence
280 Grove St,41.820048,-71.4390899,Olneyville,Providence
Meader St At Almy St,41.81779299999999,-71.43271159999999,Ward 13,Providence
243 Atwells Ave,41.8236709,-71.4260637,Ward 13,Providence
106 Blackstone Blvd,41.8361746,-71.3852474,Blackstone,Providence
47 Salmon St,41.82314,-71.456313,Olneyville,Providence
147 Lloyd Ave,41.8313237,-71.4014962,College Hill,Providence
376 Potters Ave,41.802247,-71.420874,Elmwood,Providence
1108 Westminster St,41.8160809,-71.426354,West End Providence,Providence
198 Linwood Ave,41.806193,-71.43186899999999,West End Providence,Providence
101 Sessions St,41.8406654,-71.3934707,Blackstone,Providence
94 Walton St,41.8462576,-71.4466315,Elmhurst,Providence
175 Broad St,41.8174722,-71.41783029999999,Federal Hill,Providence
700 Smith St,41.8376514,-71.4355022,Elmhurst,Providence
Hope St At Meeting St,41.82940749999999,-71.3981831,College Hill,Providence
395 Admiral St,41.8468041,-71.4289623,Wanskuck,Providence
139 Elmdale Ave,41.8072209,-71.44943839999999,Silver Lake,Providence
20 Providence Pl,41.827286,-71.415986,Downtown Providence,Providence
376 Wickenden St,41.8198413,-71.3958363,Fox Point,Providence
46 Goddard St,41.8346846,-71.4195683,Smith Hill,Providence
374 Potters Ave,41.8022663,-71.4208591,Elmwood,Providence
540 Huntington Ave,41.8028554,-71.43641319999999,West End Providence,Providence
35 Camp St,41.8374411,-71.4034252,Mount Hope,Providence
2 Dudley St,41.8103278,-71.40816819999999,Upper South Providence,Providence
31 Salmon St,41.824031,-71.455122,Olneyville,Providence
130 Veazie St,41.8487035,-71.43348460000001,Wanskuck,Providence
434 Mt Pleasant Ave,41.839523,-71.452771,Mount Pleasant,Providence
99 Kennedy Plz,41.824537,-71.41223699999999,Downtown Providence,Providence
47 Concannon St,41.8535239,-71.4369633,Wanskuck,Providence
126 Ford St,41.8097083,-71.43260339999999,West End Providence,Providence
Ethan St At Sophia St,41.8088259,-71.458229,Silver Lake,Providence
1058 Atwells Ave,41.8251414,-71.4528749,Mount Pleasant,Providence
70 Fricker St,41.8166725,-71.4210162,Federal Hill,Providence
65 Gordon Ave,41.803044,-71.41574299999999,Lower South Providence,Providence
57 Babcock St,41.7895946,-71.4075096,Washington Park,Providence
160 Benedict St,41.8058941,-71.4393122,West End Providence,Providence
Chad Brown St At Pinehurst Ave,41.8395741,-71.4321875,Elmhurst,Providence
1 Cadillac Dr,41.79378,-71.416584,Elmwood,Providence
64 Dartmouth Ave,41.8083255,-71.4231664,Elmwood,Providence
24 Tappan St,41.8463216,-71.42708379999999,Wanskuck,Providence
Point St At Chestnut St,41.8162631,-71.4080073,Jewelry District,Providence
265 Althea St,41.8094956,-71.43938539999999,West End Providence,Providence
186 Chapin Ave,41.8117787,-71.4390473,West End Providence,Providence
Barbara St At Glenbridge Ave,41.8208627,-71.4609597,Hartford,Providence
49 Hall St,41.8527435,-71.41684459999999,Charles,Providence
58 Diamond St,41.8095235,-71.4291922,West End Providence,Providence
18 Imperial Pl,41.8168796,-71.4112379,Jewelry District,Providence
61 Marshall St,41.8174243,-71.4320726,Ward 13,Providence
861 Broad St,41.8004263,-71.4174455,Elmwood,Providence
27 Fillmore St,41.837848,-71.4216977,Smith Hill,Providence
707 Douglas Ave,41.84895900000001,-71.4320932,Wanskuck,Providence
7 Providence Pl,41.828897,-71.415913,Downtown Providence,Providence
1 N  Main St,41.8258391,-71.40823019999999,Downtown Providence,Providence
Spruce St At Mcavoy St,41.824538,-71.429772,Ward 13,Providence
58 Dartmouth Ave,41.80834350000001,-71.4229282,Elmwood,Providence
28 Eames St,41.8403685,-71.39644179999999,Blackstone,Providence
184 Peace St,41.8064074,-71.4272793,West End Providence,Providence
1477 Broad St,41.7869467,-71.4028625,Washington Park,Providence
850 Manton Ave,41.8328614,-71.4665952,Manton,Providence
Exchange Ter At Exchange St,41.8261317,-71.41161319999999,Ward 13,Providence
160 Broad St,41.8169108,-71.4167171,,Providence
482 Pleasant Valley Pkwy,41.835171,-71.438226,Elmhurst,Providence
54 Whitmarsh St,41.8058828,-71.42214419999999,Elmwood,Providence
219 Manton Ave,41.8211748,-71.4477844,Olneyville,Providence
5 Croyland Rd,41.8036031,-71.41493129999999,Lower South Providence,Providence
15 Bough St,41.8161408,-71.4423849,Olneyville,Providence
1 Dorrance St,41.824629,-71.414001,Downtown Providence,Providence
Nan,41.8103525,-71.4614829,Silver Lake,Providence
60 Burnside St,41.8042854,-71.4118235,Lower South Providence,Providence
3 What Cheer Ave,41.8068262,-71.4564851,Silver Lake,Providence
35 Nebraska St,41.7982429,-71.4066747,Lower South Providence,Providence
Academy Ave At Whitford Ave,41.83897169999999,-71.4448616,Mount Pleasant,Providence
59 Wesleyan Ave,41.808109,-71.41994199999999,Upper South Providence,Providence
118 Melrose St,41.79737799999999,-71.4220863,Elmwood,Providence
457 Public St,41.805272,-71.4167171,Upper South Providence,Providence
623 Douglas Ave,41.847155,-71.4300523,Wanskuck,Providence
55 Cedar St,41.824941,-71.422411,Ward 13,Providence
160 Rounds Ave,41.78783000000001,-71.42927399999999,Reservoir,Providence
51 Empire St,41.8209638,-71.4150095,Downtown Providence,Providence
19 Elmwood Ave,41.8122927,-71.4226736,West End Providence,Providence
Courtland St At Gesler St,41.8225763,-71.4325665,Ward 13,Providence
454 Admiral St,41.8464504,-71.4316757,Wanskuck,Providence
140 New York Ave,41.791473,-71.393306,Washington Park,Providence
31 Wallace St,41.810651,-71.444431,Silver Lake,Providence
S Water St At Tockwotton St,41.816915,-71.4000928,Fox Point,Providence
Hartford Ave At 6 ,41.817011,-71.4471073,Olneyville,Providence
41 Joslin St,41.8236684,-71.4466753,Olneyville,Providence
139 Camden Ave,41.839153,-71.426583,Smith Hill,Providence
Messer St At Kenwood St,41.8099484,-71.4343567,West End Providence,Providence
182 Thurbers Ave,41.798978,-71.40794509999999,Lower South Providence,Providence
10 Veazie St,41.8466189,-71.4300389,Wanskuck,Providence
Smith St ,41.8418141,-71.44330529999999,,Providence
9 Parkis Ave,41.8094093,-71.4221335,Elmwood,Providence
319 Pocasset Ave,41.8060458,-71.4578113,Silver Lake,Providence
928 Eddy St,41.80238079999999,-71.40532189999999,Lower South Providence,Providence
142 Burnett St,41.8027829,-71.4299525,West End Providence,Providence
118 Lavaughn Street ,41.8251208,-71.45008829999999,,Providence
144 Hanover St,41.808525,-71.430508,West End Providence,Providence
Plain St At Salisbury St,41.8058786,-71.4096995,Lower South Providence,Providence
79 Washington St,41.8235438,-71.4143756,Downtown Providence,Providence
1450 Broad St,41.7880226,-71.40288559999999,Washington Park,Providence
30 America St,41.8235318,-71.42823729999999,Ward 13,Providence
529 Broad St,41.80967709999999,-71.42131959999999,Elmwood,Providence
124 Lenox Ave,41.7967027,-71.41951399999999,Elmwood,Providence
136 Hudson St,41.813083,-71.437653,West End Providence,Providence
100 Borden St,41.8128537,-71.41148559999999,Upper South Providence,Providence
124 Julian St,41.822674,-71.445065,Olneyville,Providence
458 Smithfield Ave,41.858657,-71.411305,Charles,Pawtucket
601 N  Main St,41.8372824,-71.4082834,Mount Hope,Providence
333 Adelaide Ave,41.795841,-71.4294714,Reservoir,Providence
188 Princeton Ave,41.8048467,-71.4266955,West End Providence,Providence
860 Elmwood Ave,41.7891443,-71.42054879999999,Elmwood,Providence
Tockwotton St At S Main St,41.8174597,-71.3990414,Fox Point,Providence
468 Smith St,41.8355761,-71.4265132,Smith Hill,Providence
333 W  River St,41.8452736,-71.4119394,Mount Hope,Providence
47 Hyat St,41.8224606,-71.44736139999999,Olneyville,Providence
109 Brown St,41.8298009,-71.4033038,College Hill,Providence
N  Main St At White St,41.8554713,-71.4000073,Hope,Providence
55 Bowdoin St,41.821452,-71.443145,Olneyville,Providence
47 Langdon St,41.853501,-71.424232,Charles,Providence
71 Warrington St,41.7960134,-71.4155806,Elmwood,Providence
Broad St At W Friendship St,41.809827,-71.4210111,Elmwood,Providence
107 Sorrento St,41.8071616,-71.4382225,West End Providence,Providence
40 Russo St,41.8525605,-71.42125109999999,Charles,Providence
141 General St,41.85340069999999,-71.4452191,Wanskuck,Providence
Broad St At Montgomery Ave,41.7858952,-71.4016671,Washington Park,Providence
181 Atwells Ave,41.8235724,-71.42397679999999,Ward 13,Providence
52 Calla St,41.7895273,-71.4052012,Washington Park,Providence
230 S Main St,41.8225869,-71.4047704,,Providence
Manton Ave At Amherst St,41.8233626,-71.45107759999999,Olneyville,Providence
Federal St At Barclay St,41.822165,-71.4214329,Ward 13,Providence
91 Peace St,41.8067408,-71.42358639999999,Elmwood,Providence
Harris Ave At Eagle St,41.8244572,-71.4354014,Valley,Providence
234 Washington St,41.8210842,-71.41653149999999,Downtown Providence,Providence
48 Wesleyan Ave,41.8077049,-71.4195929,Upper South Providence,Providence
62 Meeting St,41.8287911,-71.4075096,College Hill,Providence
1880 Westminster St,41.81631549999999,-71.4414855,Olneyville,Providence
1 Park Row West ,41.8293602,-71.4114756,Downtown Providence,Providence
649 Admiral St,41.8490021,-71.4381097,Wanskuck,Providence
17 Middleton St,41.820425,-71.46692469999999,Hartford,Providence
180 Westminster St,41.8233494,-71.4116937,Ward 13,Providence
139 Knight St,41.8211908,-71.4308794,Ward 13,Providence
1336 Eddy St,41.7888883,-71.4025765,Washington Park,Providence
Providence St ,41.812138,-71.4167662,Upper South Providence,Providence
25 Dorrance St,41.8239932,-71.4129367,Downtown Providence,Providence
211 Veazie St,41.8509644,-71.43387059999999,Wanskuck,Providence
278 Thurbers Ave,41.798347,-71.41077980000001,Lower South Providence,Providence
101 Whitmarsh St,41.806182,-71.42437199999999,Elmwood,Providence
152 Springfield St,41.8186411,-71.4660203,Hartford,Providence
222 Daboll St,41.8038012,-71.42925919999999,West End Providence,Providence
196 Burnside St,41.8004015,-71.4101536,Lower South Providence,Providence
1119 N Main St,41.8512418,-71.4020573,Hope,Providence
79 Eagle St,41.8251068,-71.4356483,Valley,Providence
134 Atwells Ave,41.8231103,-71.42235579999999,Ward 13,Providence
235 Angell St,41.8282269,-71.3981357,College Hill,Providence
406 Pine St,41.81446709999999,-71.4174824,Upper South Providence,Providence
14 Alverson Ave,41.8133633,-71.4583446,Hartford,Providence
960 Broad St,41.7986236,-71.4144317,Lower South Providence,Providence
744 Branch Ave,41.85361530000001,-71.43002899999999,Wanskuck,Providence
191 Carleton St,41.8265029,-71.44714929999999,Mount Pleasant,Providence
576 Public St,41.8037009,-71.420882,Elmwood,Providence
105 Vandewater St,41.8518169,-71.42981999999999,Wanskuck,Providence
169 Bay St,41.8064619,-71.4058629,Lower South Providence,Providence
Admiral St At Suffolk St,41.8431907,-71.4225513,Wanskuck,Providence
11 Waverly St,41.807103,-71.429369,West End Providence,Providence
W  Fountain St At Winter St,41.8187883,-71.4226862,Ward 13,Providence
70 Progress Ave,41.8093367,-71.4455538,Silver Lake,Providence
334 Elmwood Ave,41.8032323,-71.42561189999999,Elmwood,Providence
15 Glasgow St,41.8472273,-71.42640229999999,Wanskuck,Providence
79 Clarence St,41.810837,-71.4462379,Silver Lake,Providence
90 Ship St,41.818842,-71.4111573,Downtown Providence,Providence
219 Leah St,41.8317856,-71.451303,Mount Pleasant,Providence
820 Atwells Ave,41.824573,-71.4441756,Mount Pleasant,Providence
170 Dodge St,41.8129817,-71.4238177,West End Providence,Providence
51 Silver Spring St,41.8454822,-71.4159036,Charles,Providence
12 April Ct,41.8427183,-71.44193109999999,Elmhurst,Providence
Somerset St At Broad St,41.8134589,-71.421576,West End Providence,Providence
93 Diamond St,41.809718,-71.4293647,West End Providence,Providence
384 Potters Ave,41.8021255,-71.4211467,Elmwood,Providence
457 Benefit St,41.8190136,-71.4001689,Fox Point,Providence
1 Pocasset Ave,41.8133782,-71.448767,Silver Lake,Providence
Blackstone St At Friendship St,41.8100319,-71.4208883,Elmwood,Providence
93 Harrison St,41.814055,-71.429317,Ward 13,Providence
30 Sackett St,41.7955341,-71.4134255,Elmwood,Providence
Pleasant Valley Pkwy At Wyndham Ave,41.8355949,-71.438266,Elmhurst,Providence
70 Stanwood St,41.8027507,-71.4215178,Elmwood,Providence
54 Puritan St,41.80329580000001,-71.43794919999999,West End Providence,Providence
256 Hartford Ave,41.8171919,-71.4518051,Hartford,Providence
1 Young Ave,41.83561599999999,-71.42748399999999,Smith Hill,Providence
Bainbridge Ave At Westminster St,41.8160929,-71.43537979999999,West End,Providence
361 Reservoir Ave,41.7885089,-71.4323258,Reservoir,Providence
390 Manton Ave,41.8244808,-71.4529646,Olneyville,Providence
125 Dupont Dr,41.7995644,-71.4330578,Reservoir,Providence
Eddy St At Dudley St,41.8108122,-71.4071917,Upper South Providence,Providence
105 Mitchell St,41.8005786,-71.4226774,Elmwood,Providence
375 Adelaide Ave,41.7953586,-71.4300025,Reservoir,Providence
15 Elbow St,41.8184915,-71.4098156,Jewelry District,Providence
Cranston St At Anthony Ave,41.804354,-71.438571,West End Providence,Providence
34 Hamlin St,41.7803685,-71.4190595,South Elmwood,Providence
29 Bainbridge Ave,41.8173428,-71.4360888,Ward 13,Providence
166 Valley St,41.8212619,-71.4403598,Olneyville,Providence
41 Constitution St,41.8126035,-71.4274549,West End Providence,Providence
85 Evergreen St,41.8447372,-71.4029448,Mount Hope,Providence
265 Thurbers Ave,41.7992327,-71.410687,Lower South Providence,Providence
199 Oxford St,41.80288410000001,-71.4109653,Lower South Providence,Providence
Washington St At Aborn St,41.8222378,-71.4159277,Downtown Providence,Providence
24 Atlantic Ave,41.7990017,-71.41695299999999,Elmwood,Providence
34 Pennsylvania Ave,41.79752329999999,-71.4127048,Lower South Providence,Providence
3 Linwood Ave,41.8087719,-71.4395528,West End Providence,Providence
610 Elmwood Ave,41.7954613,-71.424593,Elmwood,Providence
600 Mt Pleasant Ave,41.8446451,-71.4575338,Mount Pleasant,Providence
Huntington Ave At Magnam Rd,41.80777,-71.441507,Silver Lake,Providence
76 Althea St,41.806756,-71.431977,West End Providence,Providence
Branch Ave At Douglas Ave,41.8553806,-71.441121,Wanskuck,Providence
26 Trever Ave ,41.8285704,-71.4358501,Valley,Providence
274 Point St,41.8146194,-71.413938,Upper South Providence,Providence
15 America St,41.823194,-71.428466,Ward 13,Providence
94 Blackstone Blvd,41.8359184,-71.3850583,Blackstone,Providence
68 Candace St,41.8374387,-71.4233268,Smith Hill,Providence
136 Knight St,41.8212266,-71.4304511,Ward 13,Providence
138 Knight St,41.821274,-71.430341,Ward 13,Providence
76 Webster Ave,41.8146651,-71.4508151,Silver Lake,Providence
3 Ricom Way,41.8107751,-71.44221569999999,Silver Lake,Providence
342 Broad St,41.8137868,-71.4212703,West End Providence,Providence
Chalkstone Ave At Oakland Ave,41.834203,-71.4302486,Elmhurst,Providence
280 Broad St,41.8149722,-71.4202236,Upper South Providence,Providence
166 Enfield Ave,41.8481318,-71.44804839999999,Elmhurst,Providence
251 Warrington St,41.7939964,-71.42216719999999,Elmwood,Providence
45 Blackstone Blvd,41.834518,-71.38364299999999,Blackstone,Providence
228 Washington Ave,41.7875356,-71.3981913,Washington Park,Providence
128 Mawney St,41.80339,-71.429948,West End Providence,Providence
57 Eddy St,41.8237112,-71.4133271,Ward 13,Providence
June St At Pumgansett St,41.8419751,-71.4232248,Wanskuck,Providence
306 Manton Ave,41.8226995,-71.4505109,Olneyville,Providence
Smith St At Ruggles St,41.8361735,-71.4282411,Smith Hill,Providence
130 Cypress St,41.842231,-71.40248,Mount Hope,Providence
597 Branch Ave,41.8526107,-71.42496129999999,Charles,Providence
Portland St At Broad St,41.8141431,-71.42131859999999,West End Providence,Providence
16 Africa St,41.8227445,-71.4271071,Ward 13,Providence
50 Weybosset St,41.8241458,-71.4098637,Downtown Providence,Providence
742 Plainfield St,41.8103894,-71.4621413,Silver Lake,Providence
53 Harold St ,41.8285446,-71.43816919999999,Valley,Providence
Thurbers Ave At Prairie Ave,41.7987434,-71.41191049999999,Lower South Providence,Providence
173 Bellevue Ave,41.8084024,-71.4315922,West End Providence,Providence
823 Potters Ave,41.8047994,-71.4367035,West End Providence,Providence
Dike St At Agnes St,41.8157579,-71.4426419,Olneyville,Providence
242 Meeting St,41.8293517,-71.4000879,College Hill,Providence
775 Cranston St,41.8041318,-71.43918289999999,West End Providence,Providence
Admiral St At Huxley Ave,41.8467787,-71.4326586,Wanskuck,Providence
397 Cahill St,41.8032766,-71.40848369999999,Lower South Providence,Providence
Broad St At Central St,41.8131858,-71.4219146,West End Providence,Providence
103 Dike St,41.8160943,-71.4436592,Olneyville,Providence
61 Orange St,41.8229897,-71.41042519999999,Downtown Providence,Providence
217 Summit Ave,41.8531353,-71.3964697,Hope,Providence
660 Cranston St,41.805957,-71.43643949999999,West End Providence,Providence
565 Admiral St,41.847946,-71.4354662,Wanskuck,Providence
116 Chestnut St,41.8187911,-71.41098869999999,Jewelry District,Providence
59 Sumter St,41.79722900000001,-71.416489,Elmwood,Providence
1 Sabin St,41.8242531,-71.4169345,Downtown Providence,Providence
1000 Elmwood Ave,41.7839622,-71.41710239999999,South Elmwood,Providence
43 Douglas Ave,41.8353672,-71.4175949,Smith Hill,Providence
347 Douglas Ave,41.8400542,-71.4263265,Wanskuck,Providence
30 Waterman St,41.8270905,-71.4066374,College Hill,Providence
620 Broad St,41.807267,-71.420058,Upper South Providence,Providence
74 Fremont St,41.8225999,-71.3904633,Fox Point,Providence
304 Potters Ave,41.803065,-71.41814819999999,Lower South Providence,Providence
1155 Westminster St,41.8174667,-71.4277449,Ward 13,Providence
48 Union Ave,41.8095435,-71.4367237,West End Providence,Providence
130 Silver Spring St,41.8474124,-71.4154763,Charles,Providence
Putnam St At Kossuth St,41.822021,-71.4441059,Olneyville,Providence
Richmond St At Friendship St,41.8202499,-71.41114619999999,Downtown Providence,Providence
Westminster St At Messer St,41.8158698,-71.437044,West End,Providence
Friendship St At Richmond St,41.8202499,-71.41114619999999,Downtown Providence,Providence
579 Atwells Ave,41.82461240000001,-71.4363784,Valley,Providence
Manton Ave At Florence St,41.8202523,-71.4470068,Olneyville,Providence
172 Pine St,41.8202185,-71.4118003,Downtown Providence,Providence
Cranston St At Huntington Ave,41.803802,-71.4391629,West End Providence,Providence
Edgehill Rd At N Main St,41.8486172,-71.4038868,,Providence
Elmwood Ave At Gallatin St,41.7939515,-71.4240246,Elmwood,Providence
Admiral St At Chad Brown St,41.8421504,-71.4213576,Wanskuck,Providence
N Main St At Park Row,41.828655,-71.409637,Downtown Providence,Providence
Point St At Eddy St,41.816823,-71.4064202,Jewelry District,Providence
22 Pekin St,41.8361815,-71.4245007,Smith Hill,Providence
28 Jillson St,41.7911265,-71.4045409,Washington Park,Providence
272 Manton Ave,41.8219014,-71.4493897,Olneyville,Providence
62 Joslin St,41.8227035,-71.44635699999999,Olneyville,Providence
73 Aleppo St,41.820355,-71.44903699999999,Olneyville,Providence
Clifford St At Ship St,41.81893540000001,-71.4113727,Downtown Providence,Providence
Broad St At Myrtle St,41.811832,-71.42154390000002,Elmwood,Providence
1911 Westminster St,41.81680799999999,-71.442007,Olneyville,Providence
Dexter St At Hollywood Rd,41.816009,-71.4311089,West End Providence,Providence
48 Gladstone St,41.8031744,-71.4170726,Lower South Providence,Providence
63 Laura St,41.80170589999999,-71.4213323,Elmwood,Providence
344 Washington St,41.8189632,-71.42040999999999,Ward 13,Providence
191 Broadway ,41.8214647,-71.4238426,Ward 13,Providence
3 Davol Sq,41.817585,-71.40643,Jewelry District,Providence
Francis St At Hayes St,41.8291896,-71.415279,Downtown Providence,Providence
69 Potters Ave,41.8053598,-71.4096181,Lower South Providence,Providence
17 Alma St,41.83658459999999,-71.4236051,Smith Hill,Providence
Federal St At Bradford St,41.8221921,-71.4219263,Ward 13,Providence
369 Montgomery Ave,41.7861713,-71.40406159999999,Washington Park,Providence
Lisbon St At Chalkstone Ave,41.833337,-71.4365256,Elmhurst,Providence
131 Adelaide Ave,41.797504,-71.420464,Elmwood,Providence
94 Sheldon St,41.8201798,-71.3975366,Fox Point,Providence
227 Oakland Ave,41.84043399999999,-71.42857699999999,Elmhurst,Providence
417 Manton Ave,41.8250778,-71.4536069,Mount Pleasant,Providence
Huntington Ave At Cranston St,41.803802,-71.4391629,West End Providence,Providence
14 Minto St,41.8357929,-71.4480947,Mount Pleasant,Providence
166 Vinton St,41.8195216,-71.42731479999999,Ward 13,Providence
89 Rome Ave,41.8484388,-71.44635360000001,Elmhurst,Providence
Elm St At Chestnut St,41.817658,-71.4089584,Jewelry District,Providence
666 Prairie Ave,41.796135,-71.409339,Lower South Providence,Providence
Broadway  At Harris Ave,41.8170934,-71.44022749999999,Olneyville,Providence
Manton Ave At Greenwood St,41.8238806,-71.45181,Olneyville,Providence
7 Winthrop Ave,41.8328748,-71.4512554,Mount Pleasant,Providence
435 Charles St,41.847127,-71.419237,Charles,Providence
235 Meeting St,41.8290404,-71.4004475,College Hill,Providence
85 Victoria St,41.834637,-71.454481,Mount Pleasant,Providence
26 Kenwood St,41.80926119999999,-71.4348026,West End Providence,Providence
Frances Street ,41.8267239,-71.41549909999999,,Providence
Wickenden St At Hope St,41.8198132,-71.3953923,Fox Point,Providence
Atwells Ave At Bradford St,41.8232404,-71.42178969999999,Ward 13,Providence
640 Chalkstone Ave,41.8345057,-71.4280115,Smith Hill,Providence
58 Union Ave,41.8094578,-71.4372413,West End Providence,Providence
3 Edna St,41.8157367,-71.4456053,Olneyville,Providence
282 Hartford Ave,41.8173465,-71.4532105,Hartford,Providence
423 Union Ave,41.8063939,-71.4521463,Silver Lake,Providence
13 Florence St,41.8204323,-71.4464714,Olneyville,Providence
26 Congress Ave,41.8005895,-71.4189203,Elmwood,Providence
15 Delmar Ave,41.7900381,-71.42834049999999,Reservoir,Providence
939 Douglas Ave,41.853687,-71.437866,Wanskuck,Providence
65 Salmon St,41.82300800000001,-71.457521,Olneyville,Providence
279 Dexter St,41.808937,-71.42854489999999,West End Providence,Providence
75 Moore St,41.8049869,-71.42263299999999,Elmwood,Providence
233 Butler Ave,41.8310951,-71.3842677,Wayland,Providence
34 Gilmore St,41.8124528,-71.4264025,West End Providence,Providence
120 Wilson St,41.8114786,-71.4276641,West End Providence,Providence
301 Cranston St,41.813195,-71.42903299999999,Ward 13,Providence
287 Carpenter St,41.818195,-71.428642,Ward 13,Providence
598 Cranston St,41.807371,-71.4352471,West End Providence,Providence
721 Chalkstone Ave,41.8343269,-71.4314981,Elmhurst,Providence
27 Salmon St,41.8247,-71.455354,Olneyville,Providence
354 Admiral St,41.8456218,-71.4279763,Wanskuck,Providence
159 Sackett St,41.7944378,-71.4188507,Elmwood,Providence
31 Grape ,41.8454545,-71.4301776,Wanskuck,Providence
345 Blackstone Blvd,41.8460744,-71.38651860000002,Blackstone,Providence
Dodge St At Cranston St,41.8145699,-71.42590419999999,West End Providence,Providence
315 Broad St,41.8145041,-71.42174969999999,West End Providence,Providence
81 Transit St,41.8203177,-71.4008301,Fox Point,Providence
Brown St At Benevolent St,41.8246153,-71.40268929999999,College Hill,Providence
65 Manton Ave,41.8184633,-71.44437839999999,Olneyville,Providence
53 Russo St,41.8529529,-71.4209612,Charles,Providence
1349 Chalkstone Ave,41.83254,-71.453729,Mount Pleasant,Providence
190 Waverly St,41.808741,-71.43571399999999,West End Providence,Providence
