casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119505,0,247 Eastwood Ave,11,Auto Towed,2017-11-13 11:47:34,JRodrigues,Not Used,Parking or MV Violation,2017,other_crime,Providence,41.8153114,-71.4574171,Hartford
2017-00119496,1,137 Camden Ave,11,Motor Vehicle Theft,2017-11-13 11:22:00,JAndrade,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,property_crime,Providence,41.839033,-71.426631,Smith Hill
2017-00119494,1,1030 Chalkstone Ave,11,"Larceny, Shoplifting",2017-11-13 11:10:00,IYousif,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,property_crime,Providence,41.8320817,-71.44207709999999,Elmhurst
2017-00119493,1,434 Mt Pleasant Ave,11,Weapons,2017-11-13 11:10:00,LPichs,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2017,other_crime,Providence,41.839523,-71.452771,Mount Pleasant
2017-00119488,1,247 Eastwood Ave,11,Larceny from Motor Vehicle,2017-11-13 10:38:28,JRodrigues,11-41-1,LARCENY/O $1500 - FROM MV,2017,property_crime,Providence,41.8153114,-71.4574171,Hartford
2017-00119475,0,106 Hanover St,11,Request for Assistance,2017-11-13 09:52:11,TGomes,Not Used,No violations,2017,other_crime,Providence,41.8081869,-71.429216,West End Providence
2017-00119469,0,158 Messer St,11,Juvenile Matter,2017-11-13 09:39:43,TGomes,Not Used,No violations,2017,other_crime,Providence,41.8111965,-71.43502389999999,West End Providence
2017-00119478,0,126 Ford St,11,Request for Assistance,2017-11-13 09:37:18,TGomes,Not Used,No violations,2017,other_crime,Providence,41.8097083,-71.43260339999999,West End Providence
2017-00119467,0,107 Wayne St,11,Auto Towed,2017-11-13 09:36:41,JAndrade,Not Used,Parking or MV Violation,2017,other_crime,Providence,41.8354355,-71.4234659,Smith Hill
2017-00119459,1,960 Broad St,11,Vandalism,2017-11-13 09:06:59,RChin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.7986236,-71.4144317,Lower South Providence
2017-00119447,1,149 Rushmore Ave,11,"Family Offenses, nonviolent",2017-11-13 08:40:00,JO,11-35-17,CRANK OR OBSCENE PHONE CALLS - FAMILY OFFENSE,2017,other_crime,Providence,41.8300016,-71.4567218,Mount Pleasant
2017-00119440,1,209 Gordon Ave,11,Vandalism,2017-11-13 08:07:12,KWigginton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.800355,-71.41450700000001,Lower South Providence
2017-00119438,1,15 Julian St,11,Motor Vehicle Theft,2017-11-13 07:25:53,LAndreozzi,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,property_crime,Providence,41.81999750000001,-71.4459861,Olneyville
