casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2017-00106624,1,28 Sims Ave,10,"Assault, Simple",2017-10-11 21:14:37,MGammino,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,21,14,11,41.8064841,-71.41295989999999,Providence,Upper South Providence
2017-00106604,1,Point St Ate Franklin St ,10,Traffic Violation,2017-10-11 20:16:00,JPirolli,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,20,16,11,41.8236618,-71.4129182,Providence County,Providence
2017-00106600,1,52 Lowell Ave,10,Municipal Code Violation,2017-10-11 20:04:00,Central Station,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,2017,other_crime,20,4,11,41.76038310000001,-71.44942820000001,Providence County,Cranston
2017-00106571,1,239 Public St,10,Vandalism,2017-10-11 18:38:00,ASchneider,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,18,38,11,42.3784625,-70.981312,Suffolk County,Winthrop
2017-00106557,1,N  Main St At Industrial Dr,10,Traffic Violation,2017-10-11 17:57:00,DJohnson,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,17,57,11,41.8128401,-71.4533399,Providence,Silver Lake
2017-00106556,1,Broad St At Somerset St,10,Receiving Stolen Property,2017-10-11 17:55:00,NCruz,31-9-2,Possession of Stolen Vehicle or Parts,2017,other_crime,17,55,11,41.839523,-71.452771,Providence,Mount Pleasant
2017-00106545,1,1473 Broad St,10,"Fraud, Swindle",2017-10-11 17:37:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,17,37,11,41.8346576,-71.4027551,Providence,College Hill
2017-00106544,1,122 Wallace St,10,"Fraud, Swindle",2017-10-11 17:33:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,17,33,11,41.8015172,-71.4263655,Providence County,Providence
2017-00500090,1,Charles 2R ,10,Vandalism,2017-10-11 17:24:13,CSical,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,17,24,11,42.5247784,-71.75960409999999,Worcester County,Leominster
2017-00106523,1,23 Penn St,10,Vandalism,2017-10-11 16:48:00,BMcParlin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,property_crime,16,48,11,41.787749,-71.43168,Providence,Reservoir
