LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.448811,41.7974188,1057,CRANSTON ST,,CRANSTON,,,,64226,4eded0436018d560
-71.4464674,41.798206,33,SUMNER AV,,CRANSTON,,,,64240,ca94ad908340fc49
-71.4380299,41.7773605,389,PONTIAC AV,,CRANSTON,,,,64093,2a9631ab4fbddfd2
-71.4325081,41.7810862,237,PONTIAC AV,,CRANSTON,,,,64095,f1c3481c0159ce3f
-71.4399714,41.7810898,949,PARK AV,,CRANSTON,,,,64111,b3bfd6844797ce7f
-71.4390919,41.7808566,935,PARK AV,,CRANSTON,,,,64113,bba5d1f232da553a
-71.435731,41.7752301,94,RICHARD ST,,CRANSTON,,,,64120,22bcde41fc053528
-71.4361157,41.7820031,99,ELDRIDGE ST,,CRANSTON,,,,64161,052442d34ab11ab6
-71.4520429,41.8046227,407,LAUREL HILL AV,,CRANSTON,,,,64163,85d2f30a7b884f7f
-71.4581566,41.8052515,349,DYER AV,,CRANSTON,,,,64170,76a341c01e9f0382
-71.4506836,41.8056314,148,ALTO ST,,CRANSTON,,,,64177,2a750a7a45285d99
-71.449676,41.8039153,10,WAKEFIELD AV,,CRANSTON,,,,64179,05fc9759191a9374
-71.4477826,41.8032371,17,JUNE AV,,CRANSTON,,,,64186,99ad9e164eb82756
-71.4476483,41.8023233,37,RYDER AV,,CRANSTON,,,,64188,81e96971958a18d5
-71.4480963,41.8002714,28,BIRCH ST,,CRANSTON,,,,64213,e2387726035820ce
-71.4294074,41.7801357,64,GREENWOOD ST,,CRANSTON,,,,64150,12296c9028febc05
-71.4534428,41.8039547,24,STAYTON ST,,CRANSTON,,,,64167,96cfc0c940fdbcf7
-71.4482476,41.7999814,21,MCCABE ST,,CRANSTON,,,,64258,b9486528374cde03
-71.4481077,41.7999173,17,MCCABE ST,,CRANSTON,,,,64259,d709419d14381773
-71.4463803,41.7984523,38,ARLINGTON AV,,CRANSTON,,,,64245,6130475209cdffc8
-71.445148,41.8008315,30,WHIPPLE AV,,CRANSTON,,,,64268,daa6e170f7d8298f
-71.4496328,41.7836441,1169,PARK AV,,CRANSTON,,,,64277,9dcc9f0a5022e892
